sample	seg_order	chr	startpos	endpos	BAF	pval	LogR	ntot	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	frac2_A	SDfrac_A	SDfrac_A_BS	frac1_A_0.025	frac1_A_0.975	nMaj1_B	nMin1_B	frac1_B	nMaj2_B	nMin2_B	frac2_B	SDfrac_B	SDfrac_B_BS	frac1_B_0.025	frac1_B_0.975	nMaj1_C	nMin1_C	frac1_C	nMaj2_C	nMin2_C	frac2_C	SDfrac_C	SDfrac_C_BS	frac1_C_0.025	frac1_C_0.975	nMaj1_D	nMin1_D	frac1_D	nMaj2_D	nMin2_D	frac2_D	SDfrac_D	SDfrac_D_BS	frac1_D_0.025	frac1_D_0.975	nMaj1_E	nMin1_E	frac1_E	nMaj2_E	nMin2_E	frac2_E	SDfrac_E	SDfrac_E_BS	frac1_E_0.025	frac1_E_0.975	nMaj1_F	nMin1_F	frac1_F	nMaj2_F	nMin2_F	frac2_F	SDfrac_F	SDfrac_F_BS	frac1_F_0.025	frac1_F_0.975
I-H-116990-T1-1-D1-1	11	1	60588876	79651315	0.668838145	1	-0.041737655	3.209032414	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	12	1	79654094	80075624	0.892859973	0.001353796	-0.01451302	3.270665837	3	0	0.651601376	3	1	0.348398624	0.117021345	0.116678433	0.376839724	0.845325167	3	0	0.825800688	3	2	0.174199312	0.058510672	0.058339216	0.688419862	0.922662583	2	0	0.771597826	2	1	0.228402174	0.078184738	0.077955631	0.588023044	0.901029289	2	0	0.885798913	2	2	0.114201087	0.039092369	0.038977815	0.794011522	0.950514645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	13	1	80075820	84196920	0.665872197	1	0.015250736	3.339391799	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	14	1	84196969	84416408	0.913266388	0.021313086	0.22180499	3.857475356	3	0	0.727008034	3	1	0.272991966	0.124925783	0.129781209	0.405982961	0.921613081	3	0	0.863504017	3	2	0.136495983	0.062462892	0.064890604	0.702991481	0.960806541	4	0	0.632037263	4	1	0.367962737	0.166385685	0.172852511	0.20447159	0.891227106	4	0	0.816018632	4	2	0.183981368	0.083192843	0.086426256	0.602235795	0.945613553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	15	1	84421151	92915852	0.677919807	1.07E-08	-0.036335254	3.221170501	2	1	0.88063139	3	1	0.11936861	0.021655627	0.021484546	0.840237627	0.922809582	1	1	0.440315695	3	1	0.559684305	0.010827813	0.010742273	0.420118814	0.461404791	2	1	0.940315695	4	1	0.059684305	0.010827813	0.010742273	0.920118814	0.961404791	3	1	0.581611387	3	2	0.418388613	0.014536745	0.01465544	0.550504175	0.610640808	3	0	0.290805693	3	2	0.709194307	0.007268373	0.00732772	0.275252087	0.305320404	3	1	0.790805693	3	3	0.209194307	0.007268373	0.00732772	0.775252087	0.805320404
I-H-116990-T1-1-D1-1	16	1	92939217	93493624	0.884540715	0.022812229	-0.147548121	2.980235603	2	0	0.750391564	2	1	0.249608436	0.119251036	0.11936424	0.487433073	0.939226438	2	0	0.875195782	2	2	0.124804218	0.059625518	0.05968212	0.743716536	0.969613219	3	0	0.619861354	3	1	0.380138646	0.178486453	0.178655887	0.226283824	0.902495936	3	0	0.809930677	3	2	0.190069323	0.089243226	0.089327944	0.613141912	0.951247968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	17	1	93503743	99421985	0.669105733	1	-0.01245246	3.275378223	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	18	1	99422773	99696385	0.893300203	0.008063756	-0.135012563	3.006473545	3	0	0.653264493	3	1	0.346735507	0.140277949	0.14250386	0.339771207	0.88390724	3	0	0.826632246	3	2	0.173367754	0.070138974	0.07125193	0.669885604	0.94195362	2	0	0.772708994	2	1	0.227291006	0.093723028	0.095210211	0.563256688	0.926806888	2	0	0.886354497	2	2	0.113645503	0.046861514	0.047605106	0.781628344	0.963403444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	19	1	99707206	102364657	0.670977294	1	-0.073522833	3.138530751	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	20	1	102373093	102409194	0.980770068	0.410849808	0.014333098	3.337251677	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	21	1	102409904	102934791	0.649847279	0.009868378	-0.119662525	3.038914485	2	1	0.928428079	2	2	0.071571921	0.028288843	0.027836549	0.868759349	0.977995773	2	0	0.46421404	2	2	0.53578596	0.014144422	0.013918275	0.434379674	0.488997887	2	1	0.96421404	2	3	0.03578596	0.014144422	0.013918275	0.934379674	0.988997887	1	1	0.132830092	2	1	0.867169908	0.049047113	0.048038543	0.042478612	0.23014167	0	1	0.066415046	2	1	0.933584954	0.024523556	0.024019272	0.021239306	0.115070835	1	1	0.566415046	3	1	0.433584954	0.024523556	0.024019272	0.521239306	0.615070835
I-H-116990-T1-1-D1-1	22	1	102940265	103695703	0.843482236	5.65E-05	-0.090777837	3.100903519	3	0	0.454042886	3	1	0.545957114	0.097355636	0.098378099	0.252097895	0.629955264	3	0	0.727021443	3	2	0.272978557	0.048677818	0.04918905	0.626048947	0.814977632	2	0	0.639604309	2	1	0.360395691	0.065045612	0.065728743	0.504680066	0.757135545	2	0	0.819802154	2	2	0.180197846	0.032522806	0.032864372	0.752340033	0.878567772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	23	1	103706560	104768887	0.658626052	1	-0.163444487	2.947289401	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	24	1	104781874	104831653	0.942895723	0.133340521	0.094404025	3.529212022	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	25	1	104842629	105297259	0.654067471	0.063420414	-0.288113262	2.7011161	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	26	1	105297628	105419019	0.948349834	0.088071893	-0.140472733	2.995016936	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	27	1	105419225	105459861	0.672596437	1	-0.315441668	2.649937183	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	28	1	105473984	105547584	0.953289027	0.168236828	-0.044768036	3.202243642	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	29	1	105552128	106770273	0.679593783	0.072989363	-0.115605854	3.047545719	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	30	1	106770883	106894557	0.965758804	0.406592209	-0.324861922	2.632519017	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	31	1	106903312	110778745	0.660830187	1	0.008269118	3.323143386	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	32	1	110780501	110955811	0.938111046	0.015536524	0.082475377	3.499934801	3	0	0.81438664	3	1	0.18561336	0.077983188	0.073293768	0.646607633	0.936236138	3	0	0.90719332	3	2	0.09280668	0.038991594	0.036646884	0.823303817	0.968118069	4	0	0.748414755	4	1	0.251585245	0.103863957	0.097618229	0.524953879	0.910703209	4	0	0.874207377	4	2	0.125792623	0.051931978	0.048809115	0.762476939	0.955351604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	33	1	110965269	117714749	0.670426066	1	-0.033027475	3.22862487	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	34	1	117719131	118080540	0.89704225	0.044483569	-0.045996589	3.199495451	3	0	0.66733542	3	1	0.33266458	0.177631398	0.18538767	0.23530154	0.944230514	3	0	0.83366771	3	2	0.16633229	0.088815699	0.092693835	0.61765077	0.972115257	2	0	0.782110114	2	1	0.217889886	0.118679754	0.123861903	0.493458023	0.9671103	2	0	0.891055057	2	2	0.108944943	0.059339877	0.061930952	0.746729012	0.98355515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	35	1	118083588	118278275	0.647303075	0.150860553	-0.104577548	3.071133295	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	36	1	118282483	118835742	0.868654194	1.78E-05	-0.062760237	3.162229192	3	0	0.557561381	3	1	0.442438619	0.105716967	0.102567852	0.335709588	0.726516253	3	0	0.778780691	3	2	0.221219309	0.052858484	0.051283926	0.667854794	0.863258126	2	0	0.708767473	2	1	0.291232527	0.070632015	0.068528017	0.560543023	0.821650233	2	0	0.854383737	2	2	0.145616263	0.035316008	0.034264008	0.780271512	0.910825117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	37	1	118836067	121159164	0.660504355	1	-0.114133289	3.050684852	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	38	1	121164607	146535220	0.75528639	1	0.108375162	3.563811465	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	39	1	146535562	146978395	0.89496119	0.002233455	0.18618177	3.762749903	3	0	0.659524694	3	1	0.340475306	0.119607654	0.115160194	0.408868598	0.854060345	3	0	0.829762347	3	2	0.170237653	0.059803827	0.057580097	0.704434299	0.927030173	4	0	0.542157805	4	1	0.457842195	0.159302595	0.153379129	0.208314901	0.801255221	4	0	0.771078903	4	2	0.228921097	0.079651297	0.076689564	0.604157451	0.900627611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	40	1	146988760	153718472	0.718489747	7.13E-22	0.348167202	4.212991846	3	1	0.8325857	3	2	0.1674143	0.018003353	0.017970058	0.796032248	0.86498949	3	0	0.41629285	3	2	0.58370715	0.009001676	0.008985029	0.398016124	0.432494745	3	1	0.91629285	3	3	0.08370715	0.009001676	0.008985029	0.898016124	0.932494745	4	1	0.44077739	4	2	0.55922261	0.023978238	0.023933894	0.392092715	0.483935228	4	0	0.220388695	4	2	0.779611305	0.011989119	0.011674095	0.1954861	0.243279253	4	1	0.720388695	4	3	0.279611305	0.011989119	0.011674095	0.6954861	0.743279253
I-H-116990-T1-1-D1-1	41	1	153743234	154025891	0.604880396	1	0.724366151	5.475964731	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	42	1	154030239	160741299	0.745681934	1	0.346594531	4.208373097	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	43	1	160743809	161078176	0.663267671	4.12E-07	0.305522222	4.089514254	3	1	0.483423571	3	2	0.516576429	0.084411312	0.087952896	0.295807135	0.645132783	3	0	0.241711785	3	2	0.758288215	0.042205656	0.043976448	0.147903568	0.322566391	3	1	0.741711785	3	3	0.258288215	0.042205656	0.043976448	0.647903568	0.822566391	2	1	0.991110503	2	2	0.008889497	0.056397201	0.058763418	0.865759508	1.099152266	2	0	0.495555251	2	2	0.504444749	0.028198601	0.029381709	0.432879754	0.549576133	2	1	0.995555251	2	3	0.004444749	0.028198601	0.029381709	0.932879754	1.049576133
I-H-116990-T1-1-D1-1	44	1	161114179	187439463	0.741593914	1	0.360448285	4.249233631	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	45	1	187452589	187758485	0.930415876	0.02621408	0.363232566	4.257493103	4	0	0.713033395	4	1	0.286966605	0.135312044	0.134766185	0.41299569	0.935695535	4	0	0.856516698	4	2	0.143483302	0.067656022	0.067383092	0.706497845	0.967847767	3	0	0.78782159	3	1	0.21217841	0.101595057	0.101185214	0.56254713	0.955000889	3	0	0.893910795	3	2	0.106089205	0.050797528	0.050592607	0.781273565	0.977500444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	46	1	187762733	196952498	0.743274378	1	0.362030325	4.253924743	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	47	1	196952702	197806474	0.908350541	0.000138726	0.32223499	4.137471259	4	0	0.608255991	4	1	0.391744009	0.108914296	0.109213556	0.354922657	0.786318564	4	0	0.804127995	4	2	0.195872005	0.054457148	0.054606778	0.677461328	0.893159282	3	0	0.709152566	3	1	0.290847434	0.081775086	0.081999777	0.518944706	0.842845597	3	0	0.854576283	3	2	0.145423717	0.040887543	0.040999888	0.759472353	0.921422798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	48	1	197826253	205668558	0.74910758	1	0.440801736	4.494125952	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	49	1	205670369	205920680	0.982639311	0.166954462	0.305093138	4.088290308	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	50	1	206074127	219152510	0.743197675	1	0.420026021	4.429494848	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
