event_id	subs_clone	event_type	color	n_junction	sample	presence	patient
6	trunk	complex_4+	darkgrey	12	E-H-131208-T1-1-D1-1	1	H131208
7	trunk	complex_<4	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
8	trunk	simple_deletion	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
9	trunk	unbalanced_translocation	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
10	trunk	unbalanced_translocation	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131209-T1-1-D1-1	1	H131209
2	trunk	DM_translocation	darkgrey	53	E-H-131209-T1-1-D1-1	1	H131209
3	trunk	complex_4+	darkgrey	4	E-H-131209-T1-1-D1-1	1	H131209
4	trunk	reciprocal_inversion	darkgrey	2	E-H-131209-T1-1-D1-1	NA	H131209
1	trunk	simple_deletion	darkgrey	1	E-H-131210-T1-1-D1-1	1	H131210
2	trunk	reciprocal_translocation	darkgrey	2	E-H-131210-T1-1-D1-1	1	H131210
3	trunk	unbalanced_translocation	darkgrey	1	E-H-131210-T1-1-D1-1	1	H131210
4	trunk	unbalanced_translocation	darkgrey	1	E-H-131210-T1-1-D1-1	1	H131210
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
2	trunk	simple_deletion	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
3	trunk	simple_deletion	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
4	trunk	complex_<4	darkgrey	3	E-H-131211-T1-1-D1-1	1	H131211
5	trunk	tandem_duplication	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
6	trunk	inversion	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
8	trunk	unbalanced_translocation	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
9	trunk	simple_deletion	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
10	trunk	unbalanced_translocation	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
11	trunk	tandem_duplication	darkgrey	1	E-H-131211-T1-1-D1-1	1	H131211
1	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
2	trunk	complex_<4	darkgrey	2	E-H-131212-T1-1-D1-1	1	H131212
3	trunk	tandem_duplication	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
4	trunk	tandem_duplication	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
6	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
7	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
8	trunk	reciprocal_translocation	darkgrey	2	E-H-131212-T1-1-D1-1	NA	H131212
9	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
10	trunk	unbalanced_translocation	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
11	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
12	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
13	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
14	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
15	trunk	simple_deletion	darkgrey	1	E-H-131212-T1-1-D1-1	1	H131212
1	trunk	chromothripsis	darkgrey	10	E-H-131213-T1-1-D1-1	1	H131213
2	trunk	unbalanced_translocation	darkgrey	1	E-H-131213-T1-1-D1-1	1	H131213
3	trunk	complex_4+	darkgrey	24	E-H-131213-T1-1-D1-1	1	H131213
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
2	trunk	DM_tandem_duplication	darkgrey	62	E-H-131214-T1-1-D1-1	1	H131214
3	trunk	simple_deletion	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
4	trunk	simple_deletion	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
5	trunk	unbalanced_translocation	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
6	trunk	complex_<4	darkgrey	3	E-H-131214-T1-1-D1-1	1	H131214
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
8	trunk	simple_deletion	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
9	trunk	tandem_duplication	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
10	trunk	tandem_duplication	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
11	trunk	tandem_duplication	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
12	trunk	reciprocal_inversion	darkgrey	2	E-H-131214-T1-1-D1-1	1	H131214
13	trunk	tandem_duplication	darkgrey	1	E-H-131214-T1-1-D1-1	1	H131214
1	trunk	tandem_duplication	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
2	trunk	complex_<4	darkgrey	3	E-H-131215-T1-1-D1-1	1	H131215
3	trunk	unbalanced_translocation	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
4	trunk	tandem_duplication	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
5	trunk	simple_deletion	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
6	trunk	tandem_duplication	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
7	trunk	tandem_duplication	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
8	trunk	unbalanced_translocation	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
9	trunk	simple_deletion	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
10	trunk	complex_<4	darkgrey	2	E-H-131215-T1-1-D1-1	1	H131215
11	trunk	tandem_duplication	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
12	trunk	simple_deletion	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
13	trunk	simple_deletion	darkgrey	1	E-H-131215-T1-1-D1-1	1	H131215
1	trunk	inversion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
2	trunk	complex_4+	darkgrey	16	E-H-131216-T1-1-D1-1	1	H131216
3	trunk	simple_deletion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
4	trunk	tandem_duplication	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
5	trunk	simple_deletion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
6	trunk	simple_deletion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
8	trunk	simple_deletion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
9	trunk	simple_deletion	darkgrey	1	E-H-131216-T1-1-D1-1	1	H131216
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131217-T1-1-D1-1	NA	H131217
2	trunk	unbalanced_translocation	darkgrey	1	E-H-131217-T1-1-D1-1	1	H131217
3	trunk	unbalanced_translocation	darkgrey	1	E-H-131217-T1-1-D1-1	1	H131217
4	trunk	unbalanced_translocation	darkgrey	1	E-H-131217-T1-1-D1-1	1	H131217
5	trunk	inversion	darkgrey	1	E-H-131217-T1-1-D1-1	1	H131217
6	trunk	tandem_duplication	darkgrey	1	E-H-131217-T1-1-D1-1	1	H131217
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131218-T1-1-D1-1	1	H131218
1	trunk	tandem_duplication	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
2	trunk	unbalanced_translocation	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
3	trunk	DM	darkgrey	4	E-H-131220-T1-1-D1-1	1	H131220
3	trunk	DM_chromothripsis	darkgrey	150	E-H-131220-T1-1-D1-1	1	H131220
4	trunk	unbalanced_translocation	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
5	trunk	tandem_duplication	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
6	trunk	tandem_duplication	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
7	trunk	simple_deletion	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
8	trunk	unbalanced_translocation	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
9	trunk	simple_deletion	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
10	trunk	simple_deletion	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
11	trunk	simple_deletion	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
12	trunk	simple_deletion	darkgrey	1	E-H-131220-T1-1-D1-1	1	H131220
1	trunk	complex_<4	darkgrey	3	E-H-131221-T1-1-D1-1	1	H131221
2	trunk	inversion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
3	trunk	unbalanced_translocation	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
4	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
5	trunk	unbalanced_translocation	darkgrey	1	E-H-131221-T1-1-D1-1	NA	H131221
6	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
7	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
8	trunk	unbalanced_translocation	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
9	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
10	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
11	trunk	inversion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
12	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
13	trunk	complex_<4	darkgrey	2	E-H-131221-T1-1-D1-1	1	H131221
14	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
15	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
16	trunk	unbalanced_translocation	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
17	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
18	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
19	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
20	trunk	complex_<4	darkgrey	2	E-H-131221-T1-1-D1-1	1	H131221
21	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
22	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
23	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
24	trunk	simple_deletion	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
25	trunk	tandem_duplication	darkgrey	1	E-H-131221-T1-1-D1-1	1	H131221
1	trunk	tandem_duplication	#646464	1	E-H-131222-T1-1-D1-1	1	H132387
2	trunk	chromothripsis	#646464	60	E-H-131222-T1-1-D1-1	1	H132387
3	trunk	simple_deletion	#646464	1	E-H-131222-T1-1-D1-1	1	H132387
4	trunk	simple_deletion	#646464	1	E-H-131222-T1-1-D1-1	1	H132387
5	trunk	simple_deletion	#646464	1	E-H-131222-T1-1-D1-1	1	H132387
6	trunk	complex_<4	#646464	2	E-H-131222-T1-1-D1-1	1	H132387
7	trunk	tandem_duplication	#646464	1	E-H-131222-T1-1-D1-1	1	H132387
8	trunk	tandem_duplication	#646464	1	E-H-131222-T1-1-D1-1	0	H132387
9	R1 100%	tandem_duplication	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
10	R1 100%	simple_deletion	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
11	R1 100%	tandem_duplication	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
12	R1 100%	simple_deletion	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
13	R1 100%	complex_<4	#0070C0	3	E-H-131222-T1-1-D1-1	0	H132387
14	R1 100%	simple_deletion	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
15	R1 100%	simple_deletion	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
16	R1 100%	complex_<4	#0070C0	1	E-H-131222-T1-1-D1-1	0	H132387
17	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
18	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
19	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
20	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
21	R2 100%	complex_<4	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
22	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
23	R2 100%	reciprocal_translocation	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
24	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
25	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
26	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
27	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
28	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
29	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
30	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
31	R2 100%	complex_<4	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
32	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
33	R2 100%	reciprocal_translocation	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
34	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
35	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
36	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
37	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
38	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
39	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
40	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
41	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
42	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
43	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
44	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
45	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
46	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
47	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
48	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
49	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
50	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
51	R2 100%	complex_<4	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
52	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
53	R2 100%	complex_<4	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
54	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
55	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
56	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
57	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
58	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
59	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
60	R2 100%	complex_<4	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
61	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
62	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
63	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
64	R2 100%	complex_<4	#4F9E28	3	E-H-131222-T1-1-D1-1	0	H132387
65	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
66	R2 100%	reciprocal_inversion	#4F9E28	2	E-H-131222-T1-1-D1-1	0	H132387
67	R2 100%	tandem_duplication	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
68	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
69	R2 100%	simple_deletion	#4F9E28	1	E-H-131222-T1-1-D1-1	0	H132387
1	trunk	tandem_duplication	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
2	trunk	chromothripsis	#646464	60	I-H-132387-T5-1-D1-2	1	H132387
3	trunk	simple_deletion	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
4	trunk	simple_deletion	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
5	trunk	simple_deletion	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
6	trunk	complex_<4	#646464	2	I-H-132387-T5-1-D1-2	1	H132387
7	trunk	tandem_duplication	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
8	trunk	tandem_duplication	#646464	1	I-H-132387-T5-1-D1-2	1	H132387
9	R1 100%	tandem_duplication	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
10	R1 100%	simple_deletion	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
11	R1 100%	tandem_duplication	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
12	R1 100%	simple_deletion	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
13	R1 100%	complex_<4	#0070C0	3	I-H-132387-T5-1-D1-2	0	H132387
14	R1 100%	simple_deletion	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
15	R1 100%	simple_deletion	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
16	R1 100%	complex_<4	#0070C0	1	I-H-132387-T5-1-D1-2	0	H132387
17	R2 100%	reciprocal_inversion	#4F9E28	2	I-H-132387-T5-1-D1-2	0	H132387
18	R2 100%	simple_deletion	#4F9E28	1	I-H-132387-T5-1-D1-2	0	H132387
19	R2 100%	reciprocal_inversion	#4F9E28	2	I-H-132387-T5-1-D1-2	0	H132387
20	R2 100%	reciprocal_inversion	#4F9E28	2	I-H-132387-T5-1-D1-2	0	H132387
